"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 17, 2014","69.25","69.25","69.25","69.25","0.17K","-1.42%"
"Aug 10, 2014","70.25","70.25","70.25","70.25","0.03K","-0.43%"
"Aug 03, 2014","70.55","70.55","70.55","70.55","0.07K","2.32%"
"Jul 27, 2014","68.95","68.95","68.95","68.95","0.36K","-0.51%"
"Jul 20, 2014","69.30","69.30","69.30","69.30","0.01K","0.29%"
"Jul 13, 2014","69.10","69.10","69.10","69.10","0.47K","-0.79%"
"Jul 06, 2014","69.65","69.65","69.65","69.65","0.19K","-0.29%"
"Jun 29, 2014","69.85","69.85","69.85","69.85","0.29K","-2.85%"
"Jun 22, 2014","71.90","71.90","71.90","71.90","0.14K","-0.14%"
"Jun 15, 2014","72.00","72.00","72.00","72.00","0.09K","-0.21%"
"Jun 08, 2014","72.15","72.15","72.15","72.15","0.08K","-0.14%"
"Jun 01, 2014","72.25","72.25","72.25","72.25","0.13K","-2.23%"
"May 25, 2014","73.90","73.90","73.90","73.90","0.13K","-0.47%"
"May 18, 2014","74.25","74.25","74.25","74.25","0.05K","0.00%"
"May 11, 2014","74.25","74.25","74.25","74.25","0.03K","1.02%"
"May 04, 2014","73.50","73.50","73.50","73.50","0.10K","0.14%"
"Apr 27, 2014","73.40","73.40","73.40","73.40","0.15K","0.00%"
"Apr 20, 2014","73.40","73.40","73.40","73.40","0.03K","-1.14%"
"Apr 13, 2014","74.25","74.25","74.25","74.25","0.01K","-0.34%"
"Apr 06, 2014","74.50","74.50","74.50","74.50","0.06K","1.29%"
"Mar 30, 2014","73.55","73.55","73.55","73.55","0.37K","-1.08%"
"Mar 23, 2014","74.35","74.35","74.35","74.35","0.09K","-0.20%"
"Mar 16, 2014","74.50","74.50","74.50","74.50","0.05K","0.00%"
"Mar 09, 2014","74.50","74.50","74.50","74.50","0.03K","0.07%"
"Mar 02, 2014","74.45","74.45","74.45","74.45","0.14K","-4.00%"
"Feb 23, 2014","77.55","77.55","77.55","77.55","0.13K","-0.06%"
"Feb 16, 2014","77.60","77.60","77.60","77.60","0.05K","0.32%"
"Feb 09, 2014","77.35","77.35","77.35","77.35","0.01K","-0.71%"
"Feb 02, 2014","77.90","77.90","77.90","77.90","0.10K","-5.40%"
"Jan 26, 2014","82.35","82.35","82.35","82.35","-","-0.30%"
"Jan 19, 2014","82.60","82.60","82.60","82.60","-","-1.14%"
"Jan 12, 2014","83.55","83.55","83.55","83.55","0.03K","-0.30%"
"Jan 05, 2014","83.80","83.80","83.80","83.80","0.02K","-3.12%"
"Dec 29, 2013","86.50","86.50","86.50","86.50","-","0.64%"
"Dec 22, 2013","85.95","85.95","85.95","85.95","-","0.12%"
"Dec 15, 2013","85.85","85.85","85.85","85.85","0.01K","0.53%"
"Dec 08, 2013","85.40","85.40","85.40","85.40","0.09K","0.12%"
"Dec 01, 2013","85.30","85.30","85.30","85.30","0.07K","0.89%"
"Nov 24, 2013","84.55","84.55","84.55","84.55","0.09K","0.18%"
"Nov 17, 2013","84.40","84.40","84.40","84.40","0.02K","-0.35%"
"Nov 10, 2013","84.70","84.70","84.70","84.70","0.14K","0.18%"
"Nov 03, 2013","84.55","84.55","84.55","84.55","0.03K","0.18%"
"Oct 27, 2013","84.40","84.40","84.40","84.40","0.14K","3.62%"
"Oct 20, 2013","81.45","81.45","81.45","81.45","0.08K","0.18%"
"Oct 13, 2013","81.30","81.30","81.30","81.30","0.01K","1.06%"
"Oct 06, 2013","80.45","80.45","80.45","80.45","0.09K","0.56%"
"Sep 29, 2013","80.00","80.00","80.00","80.00","0.17K","2.04%"
"Sep 22, 2013","78.40","78.40","78.40","78.40","0.12K","0.00%"
"Sep 15, 2013","78.40","78.40","78.40","78.40","0.06K","0.77%"
"Sep 08, 2013","77.80","77.80","77.80","77.80","0.02K","0.91%"
"Sep 01, 2013","77.10","77.10","77.10","77.10","0.06K","-1.85%"
"Aug 25, 2013","78.55","78.55","78.55","78.55","0.05K","0.32%"
"Aug 18, 2013","78.30","78.30","78.30","78.30","0.01K","-0.51%"
"Aug 11, 2013","78.70","78.70","78.70","78.70","0.02K","1.29%"
"Aug 04, 2013","77.70","77.70","77.70","77.70","0.05K","0.91%"
"Jul 28, 2013","77.00","77.00","77.00","77.00","0.11K","-0.32%"
"Jul 21, 2013","77.25","77.25","77.25","77.25","0.06K","-0.06%"
"Jul 14, 2013","77.30","77.30","77.30","77.30","0.04K","0.91%"
"Jul 07, 2013","76.60","76.60","76.60","76.60","0.03K","-0.45%"
"Jun 30, 2013","76.95","76.95","76.95","76.95","0.11K","-7.29%"
"Jun 23, 2013","83.00","83.00","83.00","83.00","0.13K","-0.18%"
"Jun 16, 2013","83.15","83.15","83.15","83.15","0.02K","-0.72%"
"Jun 09, 2013","83.75","83.75","83.75","83.75","0.01K","-2.05%"
"Jun 02, 2013","85.50","85.50","85.50","85.50","0.26K","-2.51%"
"May 26, 2013","87.70","87.70","87.70","87.70","0.04K","-0.06%"
"May 19, 2013","87.75","87.75","87.75","87.75","0.01K","0.06%"
"May 12, 2013","87.70","87.70","87.70","87.70","-","0.40%"
"May 05, 2013","87.35","87.35","87.35","87.35","0.10K","-0.17%"
"Apr 28, 2013","87.50","87.50","87.50","87.50","0.18K","0.63%"
"Apr 21, 2013","86.95","86.95","86.95","86.95","0.04K","-0.51%"
"Apr 14, 2013","87.40","87.40","87.40","87.40","0.01K","-2.24%"
"Apr 07, 2013","89.40","89.40","89.40","89.40","0.03K","1.13%"
"Mar 31, 2013","88.40","88.40","88.40","88.40","0.16K","-2.48%"
"Mar 24, 2013","90.65","90.65","90.65","90.65","0.01K","-1.25%"
"Mar 17, 2013","91.80","91.80","91.80","91.80","0.04K","-0.81%"
"Mar 10, 2013","92.55","92.55","92.55","92.55","0.08K","0.54%"
"Mar 03, 2013","92.05","92.05","92.05","92.05","0.24K","-2.13%"
"Feb 24, 2013","94.05","94.05","94.05","94.05","0.38K","-0.48%"
"Feb 17, 2013","94.50","94.50","94.50","94.50","0.01K","-0.37%"
